x,y,z,xn,yn,zn,heading,dist,uv,cum_dist,inner_x,inner_y,outer_x,outer_y
0.0,0.0,0.0,5.707086708836471,1.7015660469964757,-3.922195901395753e-09,0.2897583852295117,5.955347656893686,[0.95831294 0.28572069],0.0,-2.857206908864157,9.583129378232286,2.857206908864157,-9.583129378232286
5.707086708836471,1.7015660469964757,-3.922195901395753e-09,11.565975562475046,2.6356690351611007,-3.379810209480638e-08,0.15810282588378918,5.932885216468327,[0.98752776 0.15744498],5.932885216468327,4.132636919092079,11.57684365623733,7.281536498580863,-8.173711562244378
11.565975562475046,2.6356690351611007,-3.379810209480638e-08,17.406966456729265,2.5242489880334205,-9.678956303105224e-08,-0.01907322537008135,5.842053496302703,[ 0.99981811 -0.01907207],11.774938712771029,11.756696252037727,12.6338501506727,11.375254872912365,-7.362512080350498
17.406966456729265,2.5242489880334205,-9.678956303105224e-08,23.256868310069194,1.7788424743894211,-0.2228262072775351,-0.12673907160663014,5.897201248413763,[ 0.99197935 -0.12640005],17.67213996118479,18.67096692448422,12.444042474669885,16.14296598897431,-7.395544498603044
23.256868310069194,1.7788424743894211,-0.2228262072775351,152.70494027430507,-29.078529775957435,-1.4449312805227805,-0.23400929232619896,133.07509442962822,[ 0.97274454 -0.23187939],150.74723439081302,25.575662249882214,11.506287908041898,20.938074370256174,-7.948602959263056
152.70494027430507,-29.078529775957435,-1.4449312805227805,182.69587094100584,-36.23084300330902,-1.8891340599374473,-0.23410966977781492,30.831988368527266,[ 0.97272126 -0.23197703],181.5792227593403,155.02471061861817,-19.35131714593615,150.38516992999197,-38.80574240597872
182.69587094100584,-36.23084300330902,-1.8891340599374473,209.2751292657386,-42.582186740999674,-2.777537218233988,-0.2345601150743185,27.32757838461318,[ 0.97261667 -0.23241517],208.9068011439535,185.02002262700623,-26.504676289723363,180.37171925500544,-45.957009716894675
209.2751292657386,-42.582186740999674,-2.777537218233988,221.1982868426978,-46.57532906413945,-5.112330281769857,-0.323165686545823,12.574055519912818,[ 0.94823484 -0.31756996],221.48085666386632,212.45082887738423,-33.09983829894199,206.09942965409294,-52.06453518305736
221.1982868426978,-46.57532906413945,-5.112330281769857,232.13900376688122,-52.53715347280111,-5.1123308568499795,-0.49893528479502924,12.459640327667076,[ 0.87809252 -0.47849089],233.9404969915334,225.9831957581046,-37.79440390381265,216.41337792729098,-55.356254224466255
232.13900376688122,-52.53715347280111,-5.1123308568499795,240.07883321374993,-58.988339702473816,-5.112331479813292,-0.682322229840099,10.230283251957493,[ 0.77611042 -0.63059703],244.1707802434909,238.44497406192494,-44.776049257676405,225.83303347183752,-60.29825768792581
240.07883321374993,-58.988339702473816,-5.112331479813292,245.63403085950625,-65.21705135436028,-4.77863338226615,-0.8424914441630048,8.346081099879315,[ 0.66560552 -0.74630375],252.5168613433702,247.5418707487872,-52.33228450809445,232.61579567871263,-65.64439489685319
245.63403085950625,-65.21705135436028,-4.77863338226615,249.65306333257558,-70.80063789302153,-4.7786337523112365,-0.9469089108873745,6.879611955212675,[ 0.58419465 -0.81161359],259.39647329858286,253.75016673317361,-59.3751048910512,237.51789498583886,-71.05899781766936
249.65306333257558,-70.80063789302153,-4.7786337523112365,253.77925892525016,-79.65427759020709,-8.333704204153292,-1.1346796810645174,9.767928437319087,[ 0.42242279 -0.90639891],269.16440173590195,258.7170524414224,-66.57640998313009,240.58907422372874,-75.02486580291298
253.77925892525016,-79.65427759020709,-8.333704204153292,256.22638979133023,-87.06196460660036,-8.33370453801885,-1.2517329934302834,7.801427844219482,[ 0.31367731 -0.94952965],276.9658295801214,263.27455538163156,-76.5175045341142,244.28396246886874,-82.7910506463
256.22638979133023,-87.06196460660036,-8.33370453801885,257.45886347577,-95.8266064849479,-8.333704968292835,-1.4310935030711862,8.850872196485506,[ 0.13924884 -0.99025742],285.8167017766069,266.128964005234,-85.66947620875732,246.32381557742642,-88.4544530044434
257.45886347577,-95.8266064849479,-8.333704968292835,266.9702430546295,-213.19268415865974,-8.443840197999265,-1.48993276422176,117.75084938124611,[ 0.08077546 -0.99673232],403.567551157853,267.4261867087185,-95.01885183784007,247.49154024282143,-96.63436113205573
